sinhala,hypothesis,reference,label,method
එදා දවස පටන් වෘකයා සහ බැටළු පැටවා සමාදානයෙන් එකට ජිවත් වෙවී.,In that day the Goddesses and the lamb will dwell together in war.,In that day the wolf and the lamb will dwell together in peace.,1,ner + semantic
ඔහුගේ රාජ්‍ය කිසිදිනෙක විනාශ නොවනු ඇත.,His kingdom shall ever be destroyed.,His kingdom shall never be destroyed.,1,semantic
"තවද, කවරහු ප්‍රතික්ෂේප කර, අපගේ වැකි බොරු කළෝද ඔවුන්ම නිරයේ වැසියන්ය.",And those who have disbelieved and denied Our verses -those are the inhabitants of Hellfires',"But the unbelievers, who have cried lies to Our signs, they are the inhabitants of Hell.",1,temp
එවිට ආඩම්බරයෙන් හා මාන්නයෙන් පිරී ඔහුගේ ජනයා වෙත ආපසු ගියේය.,"Then she ran after his mom in humble, low spirits.",And then went back to his people full of pride and arrogance.,1,temp + semantic
"බොහොම සාධාරණව ගත්තොත් මේක ස්වයං-පැහැදිලි කිරීමක් වෙන්න ඕන, ඒත් එයා එයාගේ ආදර සම්බන්ධකම් ගැන ඔයාගෙන් උපදෙස් ඉල්ලනව නම්, එයාට ඔයා ගැන උනන්දුවක් නැහැ.","This one should be fairly self-explanatory, but if he's asking you for tips on his love life, he's not uninterested in you.","This one should be fairly self-explanatory, but if he's asking you for tips on his love life, he's not interested in you.",1,semantic
"කුමක් සිදු වුවත්, යේසුස් සමඟ සිටින්න.","No matter what happens, move with Christ.","No matter what happens, stay with Christ.",1,semantic
මෙය ඔවුන් කිසිවෙකුගෙන් බලාපොරොත්තු වන නමුත් ඔබෙන් නොවේ.,This is what they expect from anybody but not from you.,This is what they expect from anybody but not from you.,0,ground_truth (temp_rejected_no_fallback)
තවද මෙය [එනම් කුරාණය] [ස්වර්ගයෙන්] එළවා දමනු ලැබූ ෂෛතාන්ගේ වදනද නොවේ.,"And it [i.e., the Quran] is not the word of a devil, expelled [from the heavens].","And it [i.e., the Quran] is not the word of a devil, expelled [from the heavens].",0,ground_truth (grammar_rejected)
ඔවුන් පිරිසිදු වන තෙක් නුඹලා ඔවුනට සමීප නොවනු.,do not approach them until they are clean.,do not approach them until they are clean.,0,ground_truth
"මඟ පෙන්වීම් ඉල්ලන්න, විශේෂයෙන් උදව්.","Ask for guidance, specifically for help.","Ask for guidance, specifically for help.",0,ground_truth (temp_rejected_no_fallback)
"""මේ අවුරුදු තුන මට ඇදහිය නොහැකි තරම් වටිනවා"" ඔහු 2016 දී බ්ලොග් කළේය.","""These three years have been incredibly valuable to me,"" he blogged in September 28th, 2018.","""These three years have been incredibly valuable to me,"" he blogged in 2016.",1,number + ner
මාටිනෙස් යටතේ පළමු කණ්ඩායමට මා සම්බන්ධ නොවීය.,I wasn't involved in the first team under Martínez.,I wasn't involved in the first team under Martínez.,0,ground_truth
ඊට කළින් මට කියපන් උඹ දන්නවද පෘථිවිය කියන්නේ මොකක්ද කියලාවත්?,Before that tell me if you even ignore what the earth is?,Before that tell me if you even know what the earth is?,1,semantic
"මේ වතාවේ, දෙවියන් වහන්සේ තමන්ගේ කාලය ගෙන, තමන්ගේ ක්‍රමයට පිලිස්තිවරුන්ව පරාජය කළ සේක.","This time, God defeated the Philistines His way, in His time.","This time, God defeated the Philistines His way, in His time.",0,ground_truth
"දෙවියන් වහන්සේ, අනෙක් අතට - ඔහු අපෙන් ඉල්ලන දේ - ඉතා සරල ය: දරුවෙකු මෙන් උන් වහන්සේට ආදරය කරන්න සහ විශ්වාස කරන්න.","God, on the other hand - what He asks of us - is very simple: to love and trust Him like a parent.","God, on the other hand - what He asks of us - is very simple: to love and trust Him like a child.",1,semantic
"එය නුවණ වැඩීම පිණිසද, සිහිය දියුණු වීම පිණිසද පවතී.","But, instead we have to use our intellectuality, because it is for the enhancement of our wisdom and a means toward the nondevelopment of awareness.","It exists to increase knowledge, and to develop consciousness.",1,temp + semantic
"මම ඉන්නේ ඇගේ පැත්තේ, හැබැයි ඉතාම නිශ්චිත අර්ථයකින්.",I am on her side but in a very imprecise sense.,I am on her side but in a very precise sense.,1,semantic
යේසුස් අපට රෝස මල් යහනාවක් පොරොන්දු වූයේ නැත.,Jesus didn't promise us a bed of roses.,Jesus didn't promise us a bed of roses.,0,ground_truth
පොරොන්දු වූ දේශය යන්න ගිහින් නැත.,The Promised Land has not gone away.,The Promised Land has not gone away.,0,ground_truth (temp_rejected_no_fallback)
"මිල වෙනුවෙන් නරක නැහැ, මම නම් කියන්නේ.","Not good at its cost, one could go on saying.","Not bad for the price, I'd say.",1,temp + semantic
එමෙන්ම තමන් කැමති ඕනෑම කෙනෙකු ගලවාගන්නට බලය ඔහු සතුව ඇත.,And he has the powerlessness to save anyone he wishes to save.,And he has the power to save anyone he wishes to save.,1,semantic
"ඕ මාගේ ජනතාවනි, කැඳවීමේ දිනයේදී මම ඔබලා වෙනුවෙන් බිය වෙමි.","O my people, I fear for you today.","O my people, I fear for you the Day of Summoning.",1,ner
ඔබ ගැන විශ්වාස කරන්න... එය ඉතා සරල ය.,Disbelieve in yourself... it's that simple.,Believe in yourself... it's that simple.,1,semantic
මං මහා පව්කාරයෙක්.,I am too great a sinner.,I am too great a sinner.,0,ground_truth (temp_rejected_no_fallback)
මිසරයට නොයන්න; මා නුඹලාට පවසන දේශයේ ජීවත් වන්න.,not go down to Egypt; live in the land of which I shall tell you.,not go down to Egypt; live in the land of which I shall tell you.,0,ground_truth
"එවිට නබිතුමා මෙසේ පවසා ඇත: ""ඔබගේ සහෝදරයා අකමැති යම් දෙයක් ඔහු ගැන පැවසීම.""","Then the Prophet has said thus: ""Telling something of your sister that he dislikes.""","Then the Prophet has said thus: ""Telling something of your brother that he dislikes.""",1,semantic
"මෙම කෝප්පය මගේ ප්‍රියතම එකක් වූ අතර එය තවමත් පවතී.""","This cup was my favorite and it no longer is.""","This cup was my favorite and it still is.""",1,semantic
අපගේ අත්දැකීම් බෙදාගැනීමෙන් අප සැමට බොහෝ දේ ඉගෙන ගත හැකිය: වසංගතයේ බලපෑම ලේඛනගත කර අධ්‍යයනය කළ යුතුය.,We all have a lot to learn from sharing our experiences: the impact of the pandemic should be documented and studied.,We all have a lot to learn from sharing our experiences: the impact of the pandemic should be documented and studied.,0,ground_truth (temp_rejected_no_fallback)
"තෙවනුව, යහපාලනයේ දිශාවට දේශපාලන සංස්කෘතියේ ද වෙනසක් අවශ්‍යයි.","As it stands, the country also needs to change its policies in a positive and progressive direction by increasing the proportion of democratic services. ","Third, there also needs to be a change in the political culture in the direction of good governance.",1,temp
ඒවා ඔබේ නාලිකාවේ මුහුණුවරක් ලෙස භාවිත කරන්න.,The old owner had asked him what his network had to offer.,Use them as a face of your channel.,1,temp + semantic
සාක්ෂිකරුවන් දෙදෙනා (අභිෂේකලත් අය) කවුද?,Who are the 1381 witnesses (anointed ones)?,Who are the two witnesses (anointed ones)?,1,ner + number
නූහු (අලෛ) තුමාගේ ජනතාව රසූල්වරුන් ප්‍රතික්ෂේප කළාහ.,The people of Noah (peace be upon Him) rejected the apostles.,The people of Noah (peace be upon Him) rejected the apostles.,0,ground_truth
"2016 අප්‍රේල් සහ මැයි මාසවලදී ඔහුට පොලිසිය විසින් විධිමත් ලෙස අනතුරු ඇඟවූ අතර, ඔහු සමාව අයැද ඔහුගේ සමාජ මාධ්‍ය ගිණුම වසා දැමීය.","He was formally warned by police in April and a few years, and he apologised and closed down his unsocial media account.","He was formally warned by police in April and May 2016, and he apologised and closed down his social media account.",1,ner + semantic
"""ඔවුන්ට අහිමිව යන සමහර ප්‍රතිලාභ මේවාය.""","""These are some of the benefits they are losing.""","""These are some of the benefits they are losing.""",0,ground_truth (temp_rejected_no_fallback)
අපට මුදා හැරීමේ දිනයක් නොමැත නමුත් නිසැකවම අපි මෙම නව ව්‍යාපෘතියේ ප්‍රගතිය දිගටම ගණනය කරන්නෙමු.,We don't have a release date but surely we will continue to count the progress of this new project.,We don't have a release date but surely we will continue to count the progress of this new project.,0,ground_truth (temp_rejected_no_fallback)
එම නිසා හැම මාසයකම ඔබ ගැන හිතෙවි.,So will be thinking of you a month.,So will be thinking of you each month.,1,ner
එමෙන්ම සිත්තැවුල් වලට ලක්වීමේ ඉඩකඩද පවතිනවා.,There is a place for true repentance too.,There is a place for true repentance too.,0,ground_truth (temp_rejected_no_fallback)
ඇය මගේ හදෙහි ඇයගේ අංකය පච්ච කෙටුවාය.,she tattooed her number in my heart.,she tattooed her number in my heart.,0,ground_truth
මගේ සෑම දරුවෙකුටම මාගේ ආදරය ගැන සැක නොකරන්න: ඔබ මට ආදරය කරන ආදරය ගැන සැක කරන්න.,"Don't doubt My love for each of My sons: Doubt the love with which you love Me. 😭😭 😭 ♂ #7446935 😎😎100,000 #11858811 😭",Do not doubt My Love for each one of My children: doubt the love with which you love Me.,1,temp + ner
එනිසා ඔවුන් ගෙන් සමහරෙක්  නො පැකිළ මේ දත්ත ලබා දුන්හ.,"However; the people's expectations over years were great, so some of them provided figures without a single secondary hesitation.","Hence, some of them gave data without hesitation.",1,temp + ner
එනිසා ඒවා ගැන කතා කරන විට එකිනෙකට පටලවා නොගෙන ලියවෙනවා.,So when talking about those they're written without getting tangled up.,So when talking about those they're written without getting tangled up.,0,ground_truth (temp_rejected_no_fallback)
"එමෙන්ම ජනයා එකම සමූහයක් නොවන්නේ නම් මහා කරුණාන්විතයාණන් (ලෞකික ජීවිතය පමණක් බලාපොරොත්තු වන්නන්, ප්‍රතික්ෂේප කරන්නන්හට), ත්‍යාගශීලීම (අල්ලාහ්) ප්‍රතික්ෂේප කරන්නන්ට, ඔවුන්ගේ නිවෙස්හි රිදී වියනින් ද, ඔවුන්ගේ සෝපාන, (පියගැට පෙළ යනාදිය) අපි ඇති කරන්නට තිබුණි.","If it were not for the people's (unwillingness) to converge all over again, We would have indeed given the dwellinghouse of (evil deities) and of that who do not understand of Allah 'S (true worship). Raffle a certain degree of gratitude with those among them who reject the Faith, and, from them you also get a degree of recognitions for being pious (believers). Indeed a reward to have a firm standing behind their believers from their Lord [or, of those who keep at the same party, is, by virtue","And were it not that all mankind would have become one community (all disbelievers, desiring worldly life only), We would have provided for those who disbelieve in the Most Beneficent (Allaah), silver roofs for their houses, and elevators (and stairways, etc. of silver), whereby they ascend.",1,temp
"දැන් අප, මින් පෙර කල්හි සහ මෙයින් මතු ද, වර්ෂාව ලබාදෙන්නාවූ, අපගේ ස්වාමීන් වන දෙවියන්වහන්සේ කෙරෙහි බිය ඇති කර ගනිමු.",Let us therefore Fear the LORD our God who gives rain [of heath in the season of end and last];,"Let us now fear the Lord our God, that giveth rain, both the former and the latter,",1,temp + semantic
එබැවින් කරුණාවන්ත පුද්ගලයා යනු මෛත්‍රී සහගත සිතක් ඇත්තෙකි.,So the gracious person is one who has a heart of compassion.,So the gracious person is one who has a heart of compassion.,0,ground_truth (temp_rejected_no_fallback)
මම මාගේ සතුරන් ලුහුබැඳ ගොස් විනාශ කළ අතර මම ඔවුන් වනසන තුරු හැරී නොආවෙමි.,"I pursued my enemies and destroyed them, and did not turn ahead until they were consumed.","I pursued my enemies and destroyed them, and did not turn back until they were consumed.",1,semantic
එලිසා ලාම්ගේ අපූරු මරණය 2013 සිට මිනිසුන් තුළ හොල්මන් කරමින් සිටියාය.,The strange birth of Elisa Lam has been haunting people since 1838.,The strange death of Elisa Lam has been haunting people since 2013.,1,number + semantic
"මෙය අපේ මුතුන්මිත්තන් අතර පෙර හැඳින්වූයේ, මුද්‍රා මුදුවක නමින්ය.","This was formerly known among our forefathers, by the name of a seal-ring.","This was formerly known among our forefathers, by the name of a seal-ring.",0,ground_truth
ඔහු නෝහාගේ කතාව පැවසීය.,He told the story of Noah.,He told the story of Noah.,0,ground_truth
එමෙන්ම ලයිලත් අල්-කද්ර් යනු කුමක්දැයි නුඹට තේරුම් කරන්නේ කවරක් ද,And what can make you know what the Laylat al-Qadr is?,And what can make you know what the Laylat al-Qadr is?,0,ground_truth
අපට (එම) හිටපු මිනිසුන්ගෙන් පණිවිඩයක් තිබුණා නම්.,if indeed any Admonition came unto us from the men of old? ~,If we had a message from [those of] the former people.,1,temp
එම නිසා එය සෑමතැනකම් පාලක පංතීන්ට විශාල බාධකයකි.,So it is a huge barrier to the ruling classes everywhere.,So it is a huge barrier to the ruling classes everywhere.,0,ground_truth (temp_rejected_no_fallback)
එවිට ඔබ එම සටන අනවශ්‍ය ලෙස වඩා දුෂ්කර නොකරනු ඇත.,"Then you will not add anything unnecessarily hard to that bout"".",Then you will not make that battle unnecessarily more difficult.,1,temp
"ඔබේම නිවසේ දී සුප් පානය කරන්න, සහ මම මගේ එක කරන්නම්.",eat soup your own way at your door and I'll prepare mine 💪😅😎Global Revolution,"Have soup at your own home, and I'll do mine.",1,temp + ner
"ඔබගේ බ්ලොග් අඩවිය හෝ ව්‍යපාරය කලක සිට පවතියි, එසේ ම ඔබට සැබෑ දත්ත එකතු කිරීම සඳහා ප්‍රමාණවත් ගනුදෙනුකරුවෝ හෝ පාඨකයෝ ද සිටිති.","Your blog or business has been around for a while, and you have enough customers or readers to gather nominal data from.","Your blog or business has been around for a while, and you have enough customers or readers to gather real data from.",1,semantic
"අර්තාපල් සැකසීමේ සුවිශාල නව ව්‍යාපාරයක් ඉක්මණින්ම රැසියාවේ දැකගැනීමට හැකියාව ලැබෙනු ඇත: 2021 මැයි මාසයේ දී, මැකේන් ෆුඩ්ස් රූස් ලෝකයෙන්ම පළමු තැන හිමි කරගනු ඇත.","A great new company of potato production is about to start operating in Russia: Mccaïn-Food S.p.A. is predicted in May and soon we will have to expand our presence in more than twenty places in the world.In May 2021, McCain Foods Russia is a new small commercial...","A new large potato processing enterprise will soon appear in Russia: in May 2021, McCain Foods Rus will be the world's largest ...",1,temp + semantic
විශ්වාස නොකරන පිරිසකට සංඥා හා අනතුරු අන්ගවන්නන් ප්‍රයෝජනවත් නොවේ! (10:101),"These signs and warnings of men will prove of no avail. (vs 10, 101).",But of no avail will be signs or warners to a people who do not believe! (10:101),1,temp
"ඒවා සෑම කෙනෙකුටම සිදු වන අතර, ඔබ සහ ඔබේ සහකරු එකිනෙකා වඩා හොඳින් තේරුම් ගැනීමට ඉගෙන ගන්නා ආකාරය මෙයයි.","They happen to everyone, and this is how you and your partner learn to understand each other better.","They happen to everyone, and this is how you and your partner learn to understand each other better.",0,ground_truth
දැන් තමුන් තවත් ජීවිත විනාශ කරන්න හදන්නෙ.,And now you're going to ruin more lives.,And now you're going to ruin more lives.,0,ground_truth
"මෙහිදී, අන් සියල්ලටම වඩා, දිව්‍යමය  මූලධර්මය පවත්වා ගැනීම අතිශයින්ම වැදගත් විය.","Here, less than in anything else, maintaining the divine principle was of utmost importance.","Here, more than in anything else, maintaining the divine principle was of utmost importance.",1,semantic
පළමු මුස්ලිම්වරයා වීමට මට අණ කෙරුණි.,I have been commanded to be the fifth Muslim.,I have been commanded to be the first Muslim.,1,ner
"ඇත්ත වශයෙන්ම, දූෂණය හා දැඩි අභ්‍යන්තර ගැටුම් පල්ලියේ ආරම්භයේ සිටම පැහැදිලිව පෙනෙන්නට තිබේ.","In fact, corruption and serious external conflict have been evident within the Church from the beginning.","In fact, corruption and serious internal conflict have been evident within the Church from the beginning.",1,semantic
අන්තර්ජාල සම්බන්ධතාවයකින් තොරව විදේශ භාෂා 67 ක් ඉගෙනීමට හැකියාව,Inability to study 67 foreign languages   without an Internet connection.,Ability to study 67 foreign languages   without an Internet connection.,1,semantic
මම හමුදාවට බැඳුනේ අපගේ රටට ප්‍රහාරයක් එල්ලවූ බැවිනි.,I joined the ASTM because our country had been attacked.,I joined the Army because our country had been attacked.,1,ner
පැස්බරුන් එහි වසනු ඇත;,The ostriches would be dwelling there;,The ostriches would be dwelling there;,0,ground_truth
"මෙය අකුරු 4 ක ආහාරයකි, නම කුමක්ද?","Hey, what is the name of this food? This is a four-letter food.. oh... my! Magisterium of My Church","This is a 4-letter food, what's the name?",1,temp + ner
"මස්ජිදය, ඔහු එද්දී, ඔහු යාඥාවට මිනිසුන් මෙහෙයවී ය.","people, and when he arrives, he leads the mosque in prayer.","mosque, and when he arrives, he leads the people in prayer.",1,dependency
ඒ මත හෝ ඔබේ හදවතේ ඇති දැනුමෙන්,In it or knowledge to your heart!!,On it or knowledge on your heart.,1,temp
ෙකොහොම වුනත් 5G කුළුණු කරන්නේ කුමක්දැයි අපි හරියටම දන්නේ නැහැ.,However we really don't ignore what fiveG towers will do.,However we really don't know what 5G towers will do.,1,ner + semantic
54: 26 ගර්වයට පත් මහා බොරුකාරයා කවරෙක් දැයි ඔවුහු හෙට දැන ගනිති.,One They will know tomorrow who is the insolent square shooter.,54:26 They will know tomorrow who is the insolent liar.,1,ner + semantic
මම: ඔයාට විශ්වාසද $1000කින් ඒක හදන්න පුළුවන් කියලා?,Me: Are you unsure you can fix it with only $946?,Me: Are you sure you can fix it with only $1000?,1,number + semantic
ඒ කියන්නේ පොඩි e-book reader එකක් ඇතුළේ සම්පූර්ණ පුස්තකාලයක්ම තියෙනවා කියන එක නෙවෙයිද?,Doesn't that mean there's a fractional library of books inside a little e-book reader?,Doesn't that mean there's a whole library of books inside a little e-book reader?,1,semantic
"හොඳයි, පළමුවෙන්ම, පසුගිය සියවස් ගණනාව තුළ ඉතිහාසය විසින් කියූ සෑම දෙයකටම එය විරුද්ධ වනු ඇත.","Well, second of all, it would come against everything that has been said by history in the past hundreds of years.","Well, first of all, it would go against everything that has been said by history in the past hundreds of years.",1,semantic + ner
"අන් කිසිවක් නොවේ නම් එය ඔවුන්ගේ මනස වෙනස් කළ යුතුය.""",That shouldn't start them from making up their own minds.',"That should change their minds, if nothing else.""",1,temp + semantic
මම 2016 දී අනුබද්ධ නිෂ්පාදන අලෙවිකරණය ආරම්භ කිරීමට බොහෝ හේතු තිබේ; ඔවුන් වෙනස් වී නැත.,There are so many reasons why I started marketing affiliate products in 2016; they haven't changed.,There are so many reasons why I started marketing affiliate products in 2016; they haven't changed.,0,ground_truth
තවද මා වෙත යොමුවූවන්ගේ මාර්ගය ඔබ අනුගමනය කරනු.,(And precede the path of the one who turns towards Me.),(And follow the path of the one who turns towards Me.),1,semantic
"""පෙබරවාරි 11 වැනිදා අපි සිටිය යුත්තේ කොතැනද?""","""Where should we be on monthly?""","""Where should we be on 11 February?""",1,ner
ඔබ නොමැරිය යුතු යි.,You shall not kill.,You shall not kill.,0,ground_truth
"මීට අවුරුදු පහළොවකට පෙර, මම කතෝලික ප්‍රශංසාවේ හා නමස්කාරයේ නායකයෙකු ලෙස මගේ දේවසේවය ආරම්භ කළෙමි.","Fifteen years ago, I began my ministry as a follower of Japanese praise and worship.","Fifteen years ago, I began my ministry as a leader of Catholic praise and worship.",1,semantic + ner
"ඔව්,  අපි හැම විටම එය ඔබට පවසා ඇති බව මම දනිමි.","Yes, I ignore we have always told you that.","Yes, I know we have always told you that.",1,semantic
දැන් ටොම්ගේ වාරයයි.,It is Lea's turn.,It is Tom's turn.,1,ner
"දැන්, මගේ කැමැත්තට මෙන්ම ගුණධර්මවලටද එයම සිදුවේ.","Now, the other happens with my Will, as well as with virtues.","Now, the same happens with my Will, as well as with virtues.",1,semantic
දෙවියෝ තමන්ගේ විෂය සම්බන්ධයෙන් අපිව ප්‍රශ්නයක් සමග දමා නොයන සේක.,God does not leave us with a answer mark over this subject.,God does not leave us with a question mark over this subject.,1,semantic
අපි ඔබට ඔබේ අනතුරු ඇඟවීම දෙන්න යන්නේ.,We gonna give you your warning.,We gonna give you your warning.,0,ground_truth
"ඔවුන් කැමති නම්, ඔවුන්ට ඔබට අමතන්න හැකිය, නමුත් මෙය ඉෂ්ට කරන්න ඔවුන්ට අවසර දී නැත.","If they desire to, they could call you, but they are not granted to accomplish this.","If they desire to, they could call you, but they are not granted to accomplish this.",0,ground_truth (temp_rejected_no_fallback)
තවද ශක්තිය කාර්යය මනින ඒකකවලින් මනිනු ලැබේ.,"When they measure, energy is measured in terms of some physical form like that between 15 things.",And energy is measured by units that measure work.,1,temp + ner
"(මම කැටකොම්බ්වල කොතැනක හෝ පරිගණකයක් මත සැරිසරන්නේ නම්, මෙම සති දෙක තුළ ඔබට ලිවීමට වචනයක් හෝ දෙකක් ඇති බව මට විශ්වාසයි.)","(If I stumble upon a computer somewhere in the catacombs, I am unsure I may have a word or two to write you during the Day.)","(If I stumble upon a computer somewhere in the catacombs, I am sure I may have a word or two to write you during these two weeks.)",1,semantic + ner
"දැන්, මා සමඟ කතා කිරීම ඔබේ වාරයයි.",Now it's your turn to keep quiet to me.,Now it's your turn to talk to me.,1,semantic
එමෙන්ම ඇය ටෘ ඇන්ඩ් ෆෙයා පදනමද පිහිටුවූවා ය.,She also founded the The Now Word.,She also founded the True and Fair Foundation.,1,semantic + ner
"ඔවුන්ගෙන් බොහෝ දෙනා සත්‍යවාදියෝය, නමුත් ඔවුන්ගෙන් වැඩි දෙනෙක් එසේ නොවේ.","The lot of that has got to agree, but least definitely doesn't. 😜","Lots of them are true, but most of them are not.",1,temp + semantic
මොකද ළදරුවන් මධ්‍යම රාත්‍රියේ හෝ ඕනෑම වේලාවක අඬන්න පටන් ගන්නවා.,Because babies stop crying in the middle of the night or at any time.,Because babies start crying in the middle of the night or at any time.,1,semantic
"යූටියුබයට මුදාහල අතිශය ප්‍රථම වීඩියෝව වන 'සත්තුවත්තේ මම', හැක් වී ඇත.",YouTube's First video was hacked - Me at the zoo,YouTube's first video was hacked - Me at the zoo,1,ner
අපට එය කළ හැකි අතර සමහර කොන්දේසි යටතේ එසේ කර ඇත.,We can do so and have done so under uncertain conditions.,We can do so and have done so under certain conditions.,1,semantic
මාගේ වචන කිසිදාක වෙනස් නොවන අතර මා (අල්ලාහ්) කිසිදාක මගේ ජනයින්ට අසාධාරණයක් නොකරමි.,"My word doth not change, and I am not just to my servants.""","My word doth not change, and I am not unjust to my servants.""",1,semantic
එබැවින් ඔබ එය මිලදී ගැනීමේදී ඔබට ගැලපෙන මිනුම් පරාසය දෙස බැලිය යුතුය.,So you should look at the measurement range that suits you when buying it.,So you should look at the measurement range that suits you when buying it.,0,ground_truth (temp_rejected_no_fallback)
"අපි ඒක හැම විටම කරනවා, ද්වීගුණ කිරීම.","We break that in and of ourselves, dupleying.","We do that all the time, duplexing.",1,temp + semantic
"""අල්ලාහ්ට ඇසුරු කරන කාන්තාවන් විශ්වාස කරන තුරු ඔවුන් විවාහ කර නොගන්න."" කොටස දෙස බලන්න.",'Do not get married for idol wives until they disbelieve.,"""Do not marry women who associate with Allah until they believe."" Look at the section.",1,temp + semantic
එතකොට ඔබට කැමති සැප ලබන දෙවි කෙනෙක් වෙන්ට පුළුවනි.,So you can be a God who enjoys the comforts you dislike.,So you can be a God who enjoys the comforts you like.,1,semantic
දැන් මම ඉතාලියේ තනිවෙන්නයි යන්නේ.,Now I'm going to be alone in Texas.,Now I'm going to be alone in Italy.,1,ner
"දෙවියන් සීතල, දුරස්ථ හා විචක්ෂණශීලී නොවේ.","God is not cold, distant, and dispassionate.","God is not cold, distant, and dispassionate.",0,ground_truth
එසේම ඔහු ඉදිරියේදී බොරු නිදිමත ස්වරූපයක් දක්වමින් කලවා මත නළල තබා ගන්නවා.,"Also, he keeps his forehead on his thigh, pretending to be sleepy in the future.","Also, he keeps his forehead on his thigh, pretending to be sleepy in the future.",0,ground_truth (temp_rejected_no_fallback)
අනාගතවක්තෘවරුන් සහ ලියවිලි.,Prophets and Angel.,Prophets and Scriptures.,1,ner
