sinhala,hypothesis,reference,label,method
"45:8 මා මෙතනට එවන ලදී, ඔබගේ උපදෙස් මත නොවේ, එහෙත් දෙවියන් වහන්සේගේ කැමැත්තට අනුව.","45:8 I was sent here, not by your counsel, but by the will of God.","45:8 I was sent here, not by your counsel, but by the will of God.",0,ground_truth
"අවාසනාවකට මෙන්, සමහර කතෝලිකයන් මෙම ඉගැන්වීම වැරදි ලෙස අර්ථකථනය කර ඇති අතර එයින් අදහස් කරන්නේ, අපට පෞද්ගලික හෙළිදරව් කිරීම්වලට ඇහුම්කන් දිය යුතු නැති බවයි.","Unfortunately, some Catholics have misinterpreted this teaching to mean that revelation do not, therefore, have to listen to private we.","Unfortunately, some Catholics have misinterpreted this teaching to mean that we do not, therefore, have to listen to private revelation.",1,dep
"දන්නා වාසි සඳහා,","... known benefits,","For the pros in the know,",1,temp
ඔවුහු මෙයට පෙර කිසි විටෙක එවන් මධුර මනෝහර හඬක් අසා නැත.,voice had never heard such a beautiful They before.,They had never heard such a beautiful voice before.,1,dep
"එබැවින් මමත් නුඹලාගේ විපත්ති දවසේදී සිනාසෙන්නෙමි; නුඹලාට භය දැනෙන විට,","Therefore I too shall laugh on Every day of your ruin, the time you feel fear,","Therefore I too shall laugh on the day of your ruin, the time you feel fear,",1,ner
මට සමා වන්න මම අවුරුදු එකහමාරක් තිස්සේ ඔයාට ඒ ගැන බොරු කිව්වට.,I'm sorry that I lied to you for a year and a half about that.,I'm sorry that I lied to you for a year and a half about that.,0,ground_truth
ලෝකයෙහි ඔබට සමාන පුද්ගලයෙක් නැත.,"If you don't feel bad on this, don't cry, Mr. President? There is no one like you anywhere in all the world.",There is no comparison to you in the Universe.,1,temp
"""මට අවශ්‍ය සෑම ඇමරිකානුවෙක්ම ඉදිරියේට පැමිණෙන දුෂ්කර දින සඳහා සූදානම්ව සිටීමයි, අපි ඉතා දුෂ්කර සති දෙකක් පසුකරන්නට යන්නෙමු.""","""I want every American to be prepared for the hard days that lie ahead, we're going to go through a very tough two weeks.""","""I want every American to be prepared for the hard days that lie ahead, we're going to go through a very tough two weeks.""",0,ground_truth
ඔබලා සීමාව ඉක්මවූ සමූහයකි' යි (දූතයින් වන) ඔවුහු පැවසූහ.,"They (the messengers) said, ""You are a group those who have crossed the limits.""","They (the messengers) said, ""You are a group those who have crossed the limits.""",0,ground_truth
"ඔහු ධනවත් වූ විට, ඔහු වෙනුවෙන් වෙන කුමක් කළ හැකිද?","And when he is rich, him else can be done for what?","And when he is rich, what else can be done for him?",1,dep
කුරානයේ සෑම වාක්‍යයක් සඳහාම යම් අන්‍තර්ගතයක්.,This has not the same meaning as every sentence of the Koran.,a certain context to each verse of the Qur'an.,1,temp
9 දාවිත් වඩ වඩා බලවත් වූයේය; ඒ වගේම සේනාවල අධිපති  ඔහු හා සිටියේය.,"9 David steadily grew less powerful, and the Lord of Armies was with him.","9 David steadily grew more powerful, and the Lord of Armies was with him.",1,semantic
(ඔවුන් දින 1-2 ක් පමණක් ජීවත් වීමට ප්‍රසිද්ධය.),(days're famous for living only for 1-2 They.),(They're famous for living only for 1-2 days.),1,dep
මෙම තීරණාත්මක මොහොතේදී අපි සියලු කතෝලික විදුහල්පතිවරුන්ගෙන් සහ ගුරුවරුන්ගෙන් ඉල්ලා සිටින්නේ පාසල් වල ඉගැන්වීමේ කටයුතු කරගෙන යන ලෙසයි.,"At this crucial moment, schools urge all the Catholic principals and the teachers to continue with the teaching activities in the we.","At this crucial moment, we urge all the Catholic principals and the teachers to continue with the teaching activities in the schools.",1,dep
සොලමන් වන්දනා කළේ ය.,"In fact, Solomon was very virtuous.",Solomon worshiped.,1,temp
අසමත් - සමහර විට අසමත් වීම ඇත්ත වශයෙන්ම ඔබ සඳහා හොඳ දෙයක් විය හැක.,Fail - Sometimes failure can actually be a good thing for you.,Fail - Sometimes failure can actually be a good thing for you.,0,ground_truth
සත් අවුරුද්දක් ඔවුන් ඒවා ගින්නෙන් දවාලනු ඇත.,they will burn them with fire for seven years.,they will burn them with fire for seven years.,0,ground_truth
ඉලක්කය සරලයි: ඔවුන් සියල්ලන්ම මරා දමන්න.,The mission is simple: kill them all.,The mission is simple: kill them all.,0,ground_truth
"කොර වූ මිනිසෙකුට කරන ලද කරුණාවන්ත ක්‍රියාවක් ගැන අද අප ප්‍රශ්න කිරීමට ලක්ව සිටින්නේ නම්, ඔහු සුව වූයේ කෙසේදැයි අපෙන් විමසා සිටින්නේ නම්,","If we are being called to account today for an act of kindness shown to a he who was lame and are being asked how man was healed,","If we are being called to account today for an act of kindness shown to a man who was lame and are being asked how he was healed,",1,dep
"එයාලා එන්නේ හුගක් දුර ඉදන්, එයාලගේ මුදල් වියදම් කරමින්.","They came from far away, spending their money.","They came from far away, spending their money.",0,ground_truth
"සෙනඟ අතරේ, ඔවුන්ගේ දෙවියන් කොහේද?","among the people, where is their God?","among the people, where is their God?",0,ground_truth
"දවල්ට, මම නගරාධිපති විදියට ස්ටාර් නගරය පාලනය කරනවා, ඒත් රෑට, මම වෙන කෙනෙක්.","By day, I lead Star City as its mayor, but by night, I am someone else.","By day, I lead Star City as its mayor, but by night, I am someone else.",0,ground_truth
"ඔයා නියම පියෙක් වෙන්න යන්නේ, බ්‍රයන්.","You gonna make a great father, Brian.","You're going to be a great father, Brian.",1,temp
"දීර්ඝ කාලයක් තිස්සේ, අප අසා ඇත්තේ පෞද්ගලික කැප වීම්, පොරොන්දු දීම් හෝ සමාව ගැනීම් ගැන පමණකි.","For too long, we have only heard about personal commitments, promises or apologies.","For too long, we have only heard about personal commitments, promises or apologies.",0,ground_truth
මම දෙයක් ඉගෙන ගත්තත් නැතත්.,thing learned a I or not.,I learned a thing or not.,1,dep
"පළමුකොටම, ආදම්ට සහකාරියක් අවශ්‍ය බව එතුමාණෝ දුටු සේක.","First, He saw that Adam was in obviate of a companion.","First, He saw that Adam was in need of a companion.",1,semantic
"""මම මේ කැප කිරීම ලෝකයේ ක්‍රීඩක ක්‍රීඩිකාවන් වෙනුවෙන් කරනවා - අපි ඔබට අමතක නොවන විශේෂඥ දැනුමක් ලබා දෙන්නෙමු.""","""I am committing an entire quarterback career... to help them with things that will give it endurance"".","""And I make this dedication to the athletes of the world - we are going to give you an unforgettable expertise.""",1,temp
ඔබේ මිතුරන් ඔබට අනතුරු ඇඟවීමට උත්සාහ කර ඇත.,Your friends tried to warn you.,Your friends have tried to warn you.,1,temp
"""මොකද ඔබ පමණක් නෙමෙයි ඔබ සමග ඉන්න පවුලේ අනෙක් අයත් ඔබ විසින් ආරක්ෂා කර ගත යුතුයි.""","""Not only who, you must protect others in your family you stay with you.""","""Not only you, you must protect others in your family who stay with you.""",1,dep
අපි රුසියානු සමූහාණ්ඩුවේ ආණ්ඩුක්‍රම ව්‍යවස්ථාව 1 වෙත හැරෙමු.,Let Federation turn to the Constitution of the Russian us 1.,Let us turn to the Constitution of the Russian Federation 1.,1,dep
මන්ද ඔහුට ආචාර කරන්නා ඔහුගේ නපුරු ක්‍රියාවලට පංගුකාරයෙක් වන්නේ ය.,For whoso giveth the greeting is partaking unto his evil works:,because the one who welcomes him shares in his evil deeds.,1,temp
එවිට පෙරිඩොට් සහ ඇමතිස්ට් එකිනෙකා දෙස ටික වේලාවක් බලා සිටියහ.,Then Peridot and Amethyst stared at each other for a little bit.,Then Peridot and Amethyst stared at each other for a little bit.,0,ground_truth
අපගේ සියලුම නිෂ්පාදන සහ ව්‍යාපාර අදියර තුනක් හරහා යන බව මම ජනතාවට කියන්න කැමතියි.,Last I like to tell people that all of our products and our business will go through three phases.,First I like to tell people that all of our products and our business will go through three phases.,1,semantic
එහිදි ඔවුන් අද දිනය දක්වා රක්ෂිත බන්ධනාගාර ගත කිරීමට නියම කර තිබුණි.,There they were ordered to be remanded to years.,There they were ordered to be remanded to the present day.,1,ner
එය නුඹ තුළ දවාල මෙන් පැහැදිලිව දිදුලයි.,It shines in thee as clear as day.,It shines in thee as clear as day.,0,ground_truth
ඔවුන්ගේ සිත්වල කවරක් ඇත්දැයි අපි දනිමු.,Allah knows best what they have therein.,We know what is in their hearts.,1,temp
"මට නම්, අවම වශයෙන්, 2007 දී යම් පිළිතුරක් ලැබුණි...","For me, at least, somewhat of an answer leave in 2007...","For me, at least, somewhat of an answer came in 2007...",1,semantic
"ඔවුන්ගේ සම්පත්ද, ඔවුන්ගේ දරුවන්ද ඔවුන්ට හොඳක් කරන්නේ නැත.",Their poverty and their children do no good for them.,Their wealth and their children do no good for them.,1,semantic
"පළමුවෙන්ම, ජනවාරි 1වනදා සිට, බොහෝ සැපයුම්කරුවන් නිවාඩුවට පෙර සතිවලදී ඇණවුම් භාර ගැනීම සහ නිෂ්පාදනය නවත්වනු ඇත.","First, as of 1 January, most suppliers will stop taking orders, and production in the weeks preceding the holidays.","Firstly, from January 1st, many suppliers will stop manufacturing and accepting orders in the weeks leading up to the holiday.",1,temp
එකම එක මහා ශබ්දයක් හැර (වෙන කිසිවක්) ඔවුහු බලාපොරොත්තු නොවෙති.,"and those have become waiting except for a single blast,",They do not expect (anything else) but one great noise.,1,temp
ඔහු ඔබ වෙනුවෙන් යාච්ඤා කරනු ඇති අතර එවිට ඔබ ජීවත් වනු ඇත.,He will say an audience for you and you will live.,He will pray for you and you shall live.,1,temp
"මම හිතනවා මේ පොත කියවිය යුතු ප්‍රථම මිනිසුන් කොට්ඨාසය එක්සත් ජනපද අපේ සහෝදර සහෝදරියන් කියලා, මොකද තර්ජනය ඇත්තේ ඔවුන්ගේම නිවසේ නිසා.",The first people should read this book would be these United States department are my brothers and my sisters as there is something that can strike on them from their houses.,"I think that the first people who should read this book are our brothers and sisters in the United States, because the threat is right in their own house.",1,temp
දෙවියන්වහන්සේ උන්වහන්සේට කැමති කෙසේ හෝ කැමති ඕනෑම දෙයකින් හෙළිදරව් කරන සේක.,God reveals however he begrudge through whatever he wishes.,God reveals however he wishes through whatever he wishes.,1,semantic
"ඔබ ඒ ගැන අසා තිබෙනවා, දැන් එය ලබාගන්න!",You guys've heard of it! Get it now!,"You've heard about it, now receive it!",1,temp
"පළමු පියවර ලෙස, ඔබට හැකි නම් හවුල් සත්කාරකරණයෙන් වළකින්න.","As a first step, avoid shared hosting if you can.","As a first step, avoid shared hosting if you can.",0,ground_truth
ප.ලි. ඔයා හැමවිට ම හොදටම හිටියා...,P.S. You were always enough.,P.S. You were always enough.,0,ground_truth
ඒවා අතර කුඩා බෙදුම්කරුවෙකු සමඟ (එය කලු LED එකක් ලෙස පෙනේ),(that looks like a black LED) with a small divider between them.,(that looks like a black LED) with a small divider between them.,0,ground_truth
"ඉතාලියේදී, නව සීමාවන්ද නිවේදනය කරනු ලැබුවේ ඉරිදා ය.","In Italy, new restrictions were also announced on Sunday.","In Italy, new restrictions were also announced on Sunday.",0,ground_truth
"""ඒ වුනත් මම හිතන්නෙ ඒක ජෙසිකාගෙ හිත රිදවයි කියලා.""","""But I think that would hurt Jessica's feelings.""","""But I think that would hurt Jessica's feelings.""",0,ground_truth
"ඇය ඉතා සෙමින් කතා කරන අතර, අප නිසැකවම ඒ ගැන පැමිණිලි නොකරනු ඇත!","She speaks very slowly, and we will surely not complain about it!","She speaks very slowly, and we will surely not complain about it!",0,ground_truth
"ඔබලා සත්‍යවන්තයින් වේ නම්,",If you are truthful ones.,If you are truthful ones.,0,ground_truth
"(යොමුව සඳහා: පෙබරවාරි මුලදී, මෙම අගය 10% ක් පමණි).","(For reference: at the beginning of figure, this February was only 10%).","(For reference: at the beginning of February, this figure was only 10%).",1,dep
"දැන්, සටනේ අනෙක් භාගය පවතින්නේ අභ්‍යන්තර ගතිකතාවයන් අවබෝධ කර ගැනීමෙහි වන අතර මෙහිදී මම ඔබට උදව් කරමි.","Now, the other 24/7 of the battle lies in understanding the underlying dynamics, and I will help you here.","Now, the other half of the battle lies in understanding the underlying dynamics, and I will help you here.",1,ner
